,FPR,TPR
0,0.0,0.0
1,0.001029336078229542,0.0010666666666666667
2,0.004117344312918168,0.005333333333333333
3,0.004117344312918168,0.009066666666666667
4,0.01080802882141019,0.018666666666666668
5,0.014925373134328358,0.029333333333333333
6,0.018528049408131755,0.04
7,0.022645393721049924,0.0544
8,0.024704065877509007,0.05973333333333333
9,0.027792074112197633,0.07306666666666667
10,0.029850746268656716,0.07893333333333333
11,0.03139475038600103,0.088
12,0.03602676273803397,0.09386666666666667
13,0.03808543489449305,0.10293333333333334
14,0.0391147709727226,0.10773333333333333
15,0.04014410705095214,0.1168
16,0.0442614513638703,0.12426666666666666
17,0.04632012352032939,0.12853333333333333
18,0.0478641276376737,0.13226666666666667
19,0.049922799794132784,0.14773333333333333
20,0.054554812146165726,0.16053333333333333
21,0.055584148224395266,0.16533333333333333
22,0.0638188368502316,0.17493333333333333
23,0.06896551724137931,0.18133333333333335
24,0.07462686567164178,0.19093333333333334
25,0.07874420998455996,0.1936
26,0.08028821410190427,0.19733333333333333
27,0.08234688625836335,0.208
28,0.08800823468862584,0.21706666666666666
29,0.09109624292331446,0.2192
30,0.09675759135357695,0.23413333333333333
31,0.1029336078229542,0.2517333333333333
32,0.1152856407617087,0.2704
33,0.11940298507462686,0.2768
34,0.12352032938754504,0.28213333333333335
35,0.12866700977869275,0.2912
36,0.13072568193515183,0.29333333333333333
37,0.1327843540916109,0.296
38,0.13741636644364386,0.3002666666666667
39,0.14462171899125065,0.3168
40,0.14925373134328357,0.3248
41,0.1559444158517756,0.336
42,0.15903242408646423,0.33973333333333333
43,0.159547092125579,0.34186666666666665
44,0.16778178075141534,0.35413333333333336
45,0.1688111168296449,0.3589333333333333
46,0.17138445702521873,0.3616
47,0.17292846114256305,0.3664
48,0.17601646937725168,0.3738666666666667
49,0.17858980957282553,0.38026666666666664
50,0.18682449819866187,0.3914666666666667
51,0.1878538342768914,0.3973333333333333
52,0.1966031909418425,0.4069333333333333
53,0.20123520329387545,0.416
54,0.20483787956767885,0.424
55,0.2058672156459084,0.4304
56,0.20844055584148224,0.432
57,0.21461657231085948,0.4432
58,0.2166752444673186,0.4512
59,0.22285126093669583,0.45813333333333334
60,0.2305712815234174,0.4730666666666667
61,0.23829130211013896,0.4864
62,0.24189397838394236,0.48906666666666665
63,0.2501286670097787,0.496
64,0.25218733916623776,0.4997333333333333
65,0.2640247040658775,0.5077333333333334
66,0.2655687081832218,0.5152
67,0.2691713844570252,0.5205333333333333
68,0.27792074112197634,0.5317333333333333
69,0.28255275347400927,0.5381333333333334
70,0.2866700977869274,0.544
71,0.28975810602161606,0.5482666666666667
72,0.29130211013896035,0.5514666666666667
73,0.2959341224909933,0.5557333333333333
74,0.3046834791559444,0.5712
75,0.3067421513124035,0.5733333333333334
76,0.3118888317035512,0.5797333333333333
77,0.31960885229027275,0.5861333333333333
78,0.3247555326814205,0.5898666666666667
79,0.33093154915079775,0.5952
80,0.33710756562017496,0.6010666666666666
81,0.34173957797220794,0.6021333333333333
82,0.3468862583633556,0.6090666666666666
83,0.34997426659804426,0.6133333333333333
84,0.3546062789500772,0.6202666666666666
85,0.3576942871847658,0.6256
86,0.36078229541945445,0.6288
87,0.3659289758106022,0.6341333333333333
88,0.3705609881626351,0.6421333333333333
89,0.3823983530622748,0.6565333333333333
90,0.39372104992279977,0.6645333333333333
91,0.4024704065877509,0.6709333333333334
92,0.40658775090066906,0.6752
93,0.4143077714873906,0.6810666666666667
94,0.422542460113227,0.6837333333333333
95,0.4251158003088008,0.6874666666666667
96,0.42665980442614515,0.6901333333333334
97,0.43129181677817807,0.6954666666666667
98,0.43386515697375194,0.7002666666666667
99,0.4487905301080803,0.7152
100,0.4498198661863098,0.7162666666666667
101,0.4523932063818837,0.7173333333333334
102,0.4580545548121462,0.72
103,0.4590838908903757,0.7232
104,0.46577457539886774,0.7264
105,0.48481729284611425,0.7397333333333334
106,0.4935666495110654,0.7434666666666667
107,0.5018013381369018,0.7477333333333334
108,0.5141533710756562,0.7552
109,0.5187853834276891,0.7589333333333333
110,0.5208440555841483,0.7626666666666667
111,0.5239320638188368,0.7653333333333333
112,0.528049408131755,0.7685333333333333
113,0.5316520844055584,0.7770666666666667
114,0.5362840967575914,0.7866666666666666
115,0.5445187853834277,0.7994666666666667
116,0.5496654657745754,0.8032
117,0.5579001544004117,0.8101333333333334
118,0.5599588265568708,0.8117333333333333
119,0.5666495110653629,0.8192
120,0.5692228512609367,0.8218666666666666
121,0.5784868759650026,0.8250666666666666
122,0.5934122490993309,0.8394666666666667
123,0.5970149253731343,0.8442666666666667
124,0.6011322696860525,0.8453333333333334
125,0.6037056098816264,0.8485333333333334
126,0.611425630468348,0.8538666666666667
127,0.6253216675244467,0.8576
128,0.6263510036026763,0.8602666666666666
129,0.6376737004632013,0.8704
130,0.6484817292846115,0.8768
131,0.6505404014410705,0.8778666666666667
132,0.6582604220277921,0.8816
133,0.6649511065362841,0.8874666666666666
134,0.6706124549665465,0.8901333333333333
135,0.6865671641791045,0.8954666666666666
136,0.6901698404529079,0.8997333333333334
137,0.6932578486875965,0.9072
138,0.7014925373134329,0.9130666666666667
139,0.7050952135872363,0.9146666666666666
140,0.728255275347401,0.9248
141,0.7395779722079259,0.9269333333333334
142,0.7545033453422543,0.9376
143,0.7653113741636645,0.9434666666666667
144,0.7761194029850746,0.9466666666666667
145,0.7838394235717961,0.9552
146,0.7895007720020587,0.9584
147,0.7946474523932063,0.9610666666666666
148,0.8023674729799279,0.9653333333333334
149,0.8090581574884199,0.9685333333333334
