,FPR,TPR
0,0.0,0.0
1,0.008234688625836336,0.0144
2,0.01080802882141019,0.023466666666666667
3,0.011837364899639732,0.0336
4,0.012352032938754504,0.04106666666666667
5,0.014410705095213588,0.0496
6,0.017498713329902212,0.055466666666666664
7,0.025218733916623777,0.072
8,0.027277406073082863,0.07413333333333333
9,0.028821410190427176,0.08
10,0.03242408646423057,0.09813333333333334
11,0.033968090581574885,0.11093333333333333
12,0.041688111168296446,0.1232
13,0.041688111168296446,0.1296
14,0.04323211528564076,0.1312
15,0.04632012352032939,0.14026666666666668
16,0.04734945959855893,0.14133333333333334
17,0.050437467833247554,0.152
18,0.05198147195059187,0.16053333333333333
19,0.054554812146165726,0.16533333333333333
20,0.05815748841996912,0.17226666666666668
21,0.06124549665465775,0.18133333333333335
22,0.06330416881111683,0.19093333333333334
23,0.06845084920226453,0.19626666666666667
24,0.0725681935151827,0.20586666666666667
25,0.0782295419454452,0.22133333333333333
26,0.08183221821924859,0.23573333333333332
27,0.08646423057128153,0.24746666666666667
28,0.08955223880597014,0.2517333333333333
29,0.0905815748841997,0.2528
30,0.092125579001544,0.2608
31,0.09469891919711786,0.2693333333333333
32,0.09984559958826557,0.2789333333333333
33,0.10087493566649511,0.2816
34,0.10756562017498714,0.3002666666666667
35,0.1080802882141019,0.30666666666666664
36,0.10859495625321668,0.312
37,0.11116829644879053,0.32
38,0.11580030880082347,0.3296
39,0.11734431291816778,0.33386666666666664
40,0.12506433350488935,0.3466666666666667
41,0.1276376737004632,0.36
42,0.12815234173957799,0.36
43,0.13021101389603706,0.3664
44,0.13329902213072567,0.36746666666666666
45,0.13690169840452907,0.368
46,0.13896037056098817,0.37493333333333334
47,0.1435923829130211,0.3818666666666667
48,0.1471950591868245,0.3856
49,0.16057642820380855,0.40213333333333334
50,0.1682964487905301,0.41973333333333335
51,0.1724137931034483,0.4282666666666667
52,0.1734431291816778,0.43146666666666667
53,0.17653113741636645,0.4458666666666667
54,0.17807514153371076,0.44906666666666667
55,0.1806484817292846,0.4528
56,0.1847658260422028,0.464
57,0.19248584662892435,0.4746666666666667
58,0.20174987133299022,0.4832
59,0.20329387545033453,0.49173333333333336
60,0.2110138960370561,0.5024
61,0.21461657231085948,0.5173333333333333
62,0.21770458054554812,0.5264
63,0.22285126093669583,0.5370666666666667
64,0.22748327328872878,0.5450666666666667
65,0.23108594956253217,0.5530666666666667
66,0.2372619660319094,0.5584
67,0.23829130211013896,0.5610666666666667
68,0.24189397838394236,0.5637333333333333
69,0.24755532681420483,0.5696
70,0.25218733916623776,0.5776
71,0.25424601132269686,0.5792
72,0.2588780236747298,0.5802666666666667
73,0.25990735975295937,0.5824
74,0.2660833762223366,0.5877333333333333
75,0.27225939269171384,0.5984
76,0.276376737004632,0.6106666666666667
77,0.281008749356665,0.6213333333333333
78,0.2846114256304684,0.6282666666666666
79,0.28821410190427177,0.6325333333333333
80,0.28975810602161606,0.6325333333333333
81,0.2923314462171899,0.6336
82,0.2938754503345342,0.6373333333333333
83,0.29541945445187856,0.6421333333333333
84,0.30159547092125577,0.6522666666666667
85,0.30622748327328875,0.6602666666666667
86,0.3118888317035512,0.6682666666666667
87,0.31806484817292846,0.6736
88,0.3262995367987648,0.6837333333333333
89,0.330416881111683,0.6896
90,0.3340195573854864,0.6976
91,0.34071024189397836,0.7061333333333333
92,0.35357694287184765,0.7184
93,0.36644364384971695,0.7232
94,0.37725167267112714,0.7365333333333334
95,0.38188368502316006,0.744
96,0.3885743695316521,0.7488
97,0.39372104992279977,0.7498666666666667
98,0.3988677303139475,0.7584
99,0.40555841482243954,0.7696
100,0.41276376737004633,0.7786666666666666
101,0.4163664436438497,0.7877333333333333
102,0.4261451363870304,0.7909333333333334
103,0.43540916109109623,0.7984
104,0.4390118373648996,0.8010666666666667
105,0.44467318579516213,0.8037333333333333
106,0.4580545548121462,0.8106666666666666
107,0.46937725167267114,0.8181333333333334
108,0.4822439526505404,0.8282666666666667
109,0.4843026248069995,0.8309333333333333
110,0.4863612969634586,0.8330666666666666
111,0.49408131755018014,0.8346666666666667
112,0.49922799794132783,0.8384
113,0.5234173957797221,0.8517333333333333
114,0.5306227483273289,0.8581333333333333
115,0.534740092640247,0.8592
116,0.5404014410705095,0.8645333333333334
117,0.5445187853834277,0.8693333333333333
118,0.5470921255790016,0.8709333333333333
119,0.5687081832218219,0.88
120,0.5774575398867731,0.8842666666666666
121,0.5815748841996912,0.8858666666666667
122,0.5913535769428718,0.8933333333333333
123,0.5959855892949047,0.8965333333333333
124,0.5970149253731343,0.8981333333333333
125,0.6011322696860525,0.8997333333333334
126,0.6052496139989707,0.9034666666666666
127,0.6093669583118888,0.9098666666666667
128,0.611425630468348,0.9114666666666666
129,0.6145136387030365,0.9125333333333333
130,0.6176016469377251,0.9162666666666667
131,0.6237776634071024,0.92
132,0.6273803396809058,0.92
133,0.6309830159547092,0.9216
134,0.6417910447761194,0.9248
135,0.6587750900669068,0.9317333333333333
136,0.6680391147709728,0.9338666666666666
137,0.6783324755532681,0.9370666666666667
138,0.6834791559444159,0.9402666666666667
139,0.6860524961399898,0.9429333333333333
140,0.6973751930005146,0.9461333333333334
141,0.6999485331960885,0.9466666666666667
142,0.7117858980957282,0.9504
143,0.7200205867215645,0.9546666666666667
144,0.7225939269171384,0.9568
145,0.7246525990735976,0.96
146,0.7328872876994339,0.9610666666666666
147,0.7344312918167781,0.9616
148,0.7493566649511065,0.9664
149,0.755018013381369,0.968
150,0.7565620174987133,0.9701333333333333
151,0.7606793618116315,0.9728
