,Precision,Recall
0,0.49109481403876376,1.0
1,0.5183946488294314,0.992
2,0.5225352112676056,0.9893333333333333
3,0.5234994337485843,0.9861333333333333
4,0.5253128555176336,0.9850666666666666
5,0.5286532951289399,0.984
6,0.5298850574712644,0.9834666666666667
7,0.5349040139616056,0.9808
8,0.5366209512693317,0.9808
9,0.540405524537173,0.9808
10,0.5426631237082964,0.9802666666666666
11,0.5438908659549229,0.9781333333333333
12,0.544213649851632,0.9781333333333333
13,0.5476047904191617,0.9754666666666667
14,0.5484257871064467,0.9754666666666667
15,0.5520581113801453,0.9728
16,0.5523924894003635,0.9728
17,0.5530556400121618,0.9701333333333333
18,0.553016453382084,0.968
19,0.554467564259486,0.9664
20,0.5582043343653251,0.9616
21,0.5585864848109113,0.9610666666666666
22,0.5610972568578554,0.96
23,0.5609756097560976,0.9568
24,0.5613044841643149,0.9546666666666667
25,0.5630331753554503,0.9504
26,0.5661881977671451,0.9466666666666667
27,0.5669542984979227,0.9461333333333334
28,0.5701386649467913,0.9429333333333333
29,0.5703655774830152,0.9402666666666667
30,0.5713821138211382,0.9370666666666667
31,0.574286651361102,0.9338666666666666
32,0.5771390815989429,0.9317333333333333
33,0.5816839986581684,0.9248
34,0.5849695328368314,0.9216
35,0.5859375,0.92
36,0.5873340143003064,0.92
37,0.5887594242631939,0.9162666666666667
38,0.5889845094664372,0.9125333333333333
39,0.5899206075250258,0.9114666666666666
40,0.5903114186851212,0.9098666666666667
41,0.5902439024390244,0.9034666666666666
42,0.590893169877408,0.8997333333333334
43,0.5921237693389592,0.8981333333333333
44,0.5921098978513561,0.8965333333333333
45,0.5931303116147308,0.8933333333333333
46,0.5951271945539234,0.8858666666666667
47,0.5964028776978417,0.8842666666666666
48,0.5989110707803993,0.88
49,0.6057121661721068,0.8709333333333333
50,0.6063988095238095,0.8693333333333333
51,0.6068888056907525,0.8645333333333334
52,0.6079245283018868,0.8592
53,0.609469696969697,0.8581333333333333
54,0.6109410864575363,0.8517333333333333
55,0.6184107002360346,0.8384
56,0.6198019801980198,0.8346666666666667
57,0.6230554447546869,0.8330666666666666
58,0.6234493797519007,0.8309333333333333
59,0.6236947791164659,0.8282666666666667
60,0.6271463614063778,0.8181333333333334
61,0.6307053941908713,0.8106666666666666
62,0.635596794601434,0.8037333333333333
63,0.637791932059448,0.8010666666666667
64,0.6389244558258643,0.7984
65,0.6417135439203808,0.7909333333333334
66,0.6461067366579177,0.7877333333333333
67,0.6454465075154731,0.7786666666666666
68,0.6467951591214702,0.7696
69,0.647246244879381,0.7584
70,0.6476278212805159,0.7498666666666667
71,0.650301065308013,0.7488
72,0.6527842770238652,0.744
73,0.6532639545884579,0.7365333333333334
74,0.655705996131528,0.7232
75,0.6622418879056047,0.7184
76,0.6666666666666666,0.7061333333333333
77,0.6683699540112417,0.6976
78,0.6682170542635659,0.6896
79,0.6691022964509394,0.6837333333333333
80,0.671451355661882,0.6736
81,0.6740182894029048,0.6682666666666667
82,0.6753955264593563,0.6602666666666667
83,0.6760641238253179,0.6522666666666667
84,0.6771653543307087,0.6421333333333333
85,0.6766704416761042,0.6373333333333333
86,0.6765375854214123,0.6336
87,0.6781017724413951,0.6325333333333333
88,0.6792668957617412,0.6325333333333333
89,0.68053148469093,0.6282666666666666
90,0.6808883693746347,0.6213333333333333
91,0.6807372175980975,0.6106666666666667
92,0.6795881284070261,0.5984
93,0.6806670784434836,0.5877333333333333
94,0.6837820914214151,0.5824
95,0.6838466373350094,0.5802666666666667
96,0.6873417721518987,0.5792
97,0.6884933248569612,0.5776
98,0.6894770819883796,0.5696
99,0.6922069417157826,0.5637333333333333
100,0.6943894389438944,0.5610666666666667
101,0.6942970822281167,0.5584
102,0.6978465679676985,0.5530666666666667
103,0.6980874316939891,0.5450666666666667
104,0.6993055555555555,0.5370666666666667
105,0.7,0.5264
106,0.6993511175198269,0.5173333333333333
107,0.6967455621301775,0.5024
108,0.7000759301442673,0.49173333333333336
109,0.6979969183359014,0.4832
110,0.7041139240506329,0.4746666666666667
111,0.7078925956061839,0.464
112,0.7075,0.4528
113,0.7087542087542088,0.44906666666666667
114,0.7090754877014419,0.4458666666666667
115,0.705933682373473,0.43146666666666667
116,0.7056239015817223,0.4282666666666667
117,0.7064631956912029,0.41973333333333335
118,0.7073170731707317,0.40213333333333334
119,0.7165510406342914,0.3856
120,0.7195979899497488,0.3818666666666667
121,0.7225077081192189,0.37493333333333334
122,0.7217573221757322,0.368
123,0.7267932489451476,0.36746666666666666
124,0.7308510638297873,0.3664
125,0.7305194805194806,0.36
126,0.7313109425785482,0.36
127,0.7278835386338186,0.3466666666666667
128,0.7330210772833724,0.33386666666666664
129,0.7330960854092526,0.3296
130,0.7352941176470589,0.32
131,0.7349246231155779,0.312
132,0.732484076433121,0.30666666666666664
133,0.7292746113989638,0.3002666666666667
134,0.7292817679558011,0.2816
135,0.7294281729428173,0.2789333333333333
136,0.7329462989840348,0.2693333333333333
137,0.7320359281437125,0.2608
138,0.7292307692307692,0.2528
139,0.7306501547987616,0.2517333333333333
140,0.7341772151898734,0.24746666666666667
141,0.7354409317803661,0.23573333333333332
142,0.7319223985890653,0.22133333333333333
143,0.7324478178368121,0.20586666666666667
144,0.7345309381237525,0.19626666666666667
145,0.7442827442827443,0.19093333333333334
146,0.7407407407407407,0.18133333333333335
147,0.7408256880733946,0.17226666666666668
148,0.7451923076923077,0.16533333333333333
149,0.7487562189054726,0.16053333333333333
150,0.7441253263707572,0.152
151,0.742296918767507,0.14133333333333334
