,precision,recall,f1-score,support
0,0.6457233368532207,0.629439011837365,0.6374771957258275,1943.0
1,0.6257796257796258,0.6421333333333333,0.6338510134245854,1875.0
accuracy,0.6356731272917758,0.6356731272917758,0.6356731272917758,0.6356731272917758
macro avg,0.6357514813164232,0.6357861725853491,0.6356641045752065,3818.0
weighted avg,0.6359290837722907,0.6356731272917758,0.6356963964029284,3818.0
