,precision,recall,f1-score,support
0,0.699235807860262,0.6592897581060216,0.6786754966887417,1943.0
1,0.6666666666666666,0.7061333333333333,0.6858326858326859,1875.0
accuracy,0.6822943949711892,0.6822943949711892,0.6822943949711892,0.6822943949711892
macro avg,0.6829512372634643,0.6827115457196775,0.6822540912607138,3818.0
weighted avg,0.683241271522391,0.6822943949711892,0.6821903551604271,3818.0
