,Precision,Recall
0,0.5079924139799512,1.0
1,0.5174129353233831,0.9984
2,0.5245579567779961,0.9968
3,0.5319817247287264,0.9936
4,0.5420560747663551,0.9898666666666667
5,0.5558574879227053,0.9818666666666667
6,0.5679748822605966,0.9648
7,0.5807730426164519,0.9376
8,0.5997884344146686,0.9072
9,0.6185410334346505,0.8682666666666666
10,0.6386449184441656,0.8144
11,0.6565135895032802,0.7472
12,0.6761699838622915,0.6704
13,0.6951602765556254,0.5898666666666667
14,0.7143933685003768,0.5056
15,0.7366946778711485,0.4208
16,0.7520858164481525,0.33653333333333335
17,0.7760252365930599,0.2624
18,0.8126463700234192,0.18506666666666666
19,0.8097014925373134,0.11573333333333333
20,0.8055555555555556,0.06186666666666667
21,0.7727272727272727,0.0272
22,0.7,0.007466666666666667
23,1.0,0.0026666666666666666
24,1.0,0.0
