,FPR,TPR
0,0.0,0.0
1,0.000514668039114771,0.0016
2,0.003602676273803397,0.0096
3,0.004632012352032939,0.032
4,0.012866700977869275,0.07093333333333333
5,0.024704065877509007,0.12053333333333334
6,0.04220277920741122,0.17973333333333333
7,0.06690684508492023,0.2448
8,0.09933093154915079,0.3258666666666667
9,0.1405043746783325,0.4266666666666667
10,0.17961914565105508,0.5088
11,0.2485846628924344,0.5968
12,0.31703551209469893,0.6778666666666666
13,0.3901183736489964,0.7546666666666667
14,0.46371590324240863,0.8234666666666667
15,0.5311374163664436,0.8736
16,0.6016469377251673,0.9178666666666667
17,0.660833762223366,0.9493333333333334
18,0.7153885743695316,0.9648
19,0.7673700463201235,0.976
20,0.8106021616057643,0.9861333333333333
21,0.8435409161091096,0.9904
22,0.8744209984559959,0.9962666666666666
23,0.9042717447246525,0.9994666666666666
24,0.9377251672671127,0.9994666666666666
25,1.0,1.0
