,precision,recall,f1-score,support
0,0.68720870015536,0.6829644879053011,0.6850800206504905,1943.0
1,0.6735559088500265,0.6778666666666666,0.6757044125465178,1875.0
accuracy,0.6804609743321111,0.6804609743321111,0.6804609743321111,0.6804609743321111
macro avg,0.6803823045026932,0.6804155772859839,0.6803922165985041,3818.0
weighted avg,0.6805038851481572,0.6804609743321111,0.6804757081321697,3818.0
