,precision,recall,f1-score,support
0,0.6845329249617151,0.6901698404529079,0.6873398257303946,1943.0
1,0.6761699838622915,0.6704,0.6732726298875201,1875.0
accuracy,0.6804609743321111,0.6804609743321111,0.6804609743321111,0.6804609743321111
macro avg,0.6803514544120033,0.6802849202264539,0.6803062278089573,3818.0
weighted avg,0.6804259279576766,0.6804609743321111,0.6804314988038913,3818.0
