,Precision,Recall
0,0.49109481403876376,1.0
1,0.5070346320346321,0.9994666666666666
2,0.516111264114569,0.9994666666666666
3,0.5236893748247827,0.9962666666666666
4,0.5311784897025171,0.9904
5,0.5400116822429907,0.9861333333333333
6,0.5510388437217706,0.976
7,0.5654892153798062,0.9648
8,0.5809399477806788,0.9493333333333334
9,0.5955017301038062,0.9178666666666667
10,0.6134831460674157,0.8736
11,0.6314928425357873,0.8234666666666667
12,0.6511734928670041,0.7546666666666667
13,0.6735559088500265,0.6778666666666666
14,0.6985018726591761,0.5968
15,0.7321565617805065,0.5088
16,0.7455731593662628,0.4266666666666667
17,0.7599502487562189,0.3258666666666667
18,0.7792869269949066,0.2448
19,0.8042959427207638,0.17973333333333333
20,0.8248175182481752,0.12053333333333334
21,0.8417721518987342,0.07093333333333333
22,0.8695652173913043,0.032
23,0.72,0.0096
24,0.75,0.0016
25,1.0,0.0
