,precision,recall,f1-score,support
0,0.6896008403361344,0.6757591353576943,0.6826098258383156,1943.0
1,0.670846394984326,0.6848,0.6777513855898655,1875.0
accuracy,0.680199057097957,0.680199057097957,0.680199057097957,0.680199057097957
macro avg,0.6802236176602302,0.6802795676788471,0.6801806057140906,3818.0
weighted avg,0.6803906294836879,0.680199057097957,0.6802238710279847,3818.0
