Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 15, 'random_state': 42}",0.680736458001909,0.641814832463597,0.6605441112387134,0.7003125487013804,0.646949646275489
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 16, 'random_state': 42}",0.6120744511613109,0.6565416748988221,0.6332659899796907,0.7046624536560813,0.6431352223861587
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 17, 'random_state': 42}",0.6851982580337258,0.6434065155289744,0.6634124136243849,0.7061240906226289,0.6490843516311682
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 18, 'random_state': 42}",0.62298958001909,0.658711555631048,0.6400826923920361,0.7079112322074623,0.6476260734687701
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 19, 'random_state': 42}",0.6874184696150175,0.6482843501197789,0.6671491007184112,0.7103670527445173,0.6541359916266283
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 20, 'random_state': 42}",0.6287742602608973,0.6631781443069823,0.6452802160586467,0.7118525449519366,0.6527879292298768
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 21, 'random_state': 42}",0.6923172526248806,0.6498567739042519,0.6702158731032035,0.712244864939937,0.6563780123330685
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 22, 'random_state': 42}",0.6397028118040089,0.6642680721240543,0.6515900325708489,0.7157134588030862,0.6559319789656868
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 23, 'random_state': 42}",0.6949898584155265,0.650400577046893,0.6717761491014703,0.7181606761794147,0.65772607472982
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.6, 'n_estimators': 24, 'random_state': 42}",0.6510718262806237,0.6609699168304966,0.6557707859212749,0.7189772644859727,0.6560439602012635
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 5, 'random_state': 42}",0.6386061286986955,0.622352050917204,0.6302823957879358,0.6592139187780646,0.6223639642366233
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 6, 'random_state': 42}",0.5021605552020364,0.6446441983949966,0.5642512605416211,0.6648391722951816,0.6111346927451796
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 7, 'random_state': 42}",0.6506398146675151,0.6255639130171378,0.6377772042537773,0.6704326596901394,0.6277530611987541
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 8, 'random_state': 42}",0.5427318644607063,0.6481621019151832,0.5905260541796886,0.6781710070581685,0.6222489564811663
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 9, 'random_state': 42}",0.6611045378619153,0.6316133149695167,0.645906470088013,0.6834404188210748,0.6354976733628418
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 10, 'random_state': 42}",0.5661375477251035,0.6567123762192149,0.607826500502867,0.6890023656048851,0.6332537610814765
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 11, 'random_state': 42}",0.6686818923003499,0.6373613634332835,0.6525737186898299,0.693467724886554,0.6415581533184529
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 12, 'random_state': 42}",0.5837386652879415,0.6557583060266067,0.6173032744934918,0.6962285515970994,0.6369551948952699
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 13, 'random_state': 42}",0.680714583996182,0.642768961713957,0.6610160771383697,0.7020688025884929,0.648969722190696
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 14, 'random_state': 42}",0.6051418827553292,0.6597441805911559,0.6308944889476593,0.7052230487235154,0.6447040946291883
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 15, 'random_state': 42}",0.6903043469615018,0.6492999135713233,0.6689651474592176,0.7094944336684048,0.6564941550334809
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 16, 'random_state': 42}",0.6231944002545339,0.6678431843686384,0.6442606984495794,0.712870766534085,0.6551471014766894
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 17, 'random_state': 42}",0.6927482699650016,0.6533085736002228,0.6722148528355122,0.7151260509825397,0.6608721421455503
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 18, 'random_state': 42}",0.6374607262169901,0.6692722001134952,0.6525619181386807,0.7172632171497604,0.6600881473915182
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 19, 'random_state': 42}",0.7001034043907095,0.6519505343787213,0.6750034938650875,0.7183714046908809,0.6614323005334242
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 20, 'random_state': 42}",0.6419155663378938,0.6702046624881733,0.6552615162080164,0.7192457384379999,0.6619964942811385
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 21, 'random_state': 42}",0.7081301702195354,0.6553929249520979,0.6806215428846375,0.7212563513123683,0.6660353850616022
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 22, 'random_state': 42}",0.6593039094813872,0.6712946008529954,0.6647960714793525,0.7232603585699313,0.6671617548771106
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 23, 'random_state': 42}",0.7139198218262808,0.6585021878027655,0.6848874165515928,0.7243998201580615,0.67030151704309
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.7, 'n_estimators': 24, 'random_state': 42}",0.6657661867642379,0.6707065613643912,0.667758253710617,0.725639124075191,0.6683951878333901
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 5, 'random_state': 42}",0.6207609171174038,0.6197308528550509,0.6201338302983298,0.6544368622256166,0.6170814259952836
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 6, 'random_state': 42}",0.49391703786191543,0.6470547480510952,0.5600304334663029,0.6641519547631884,0.6104602832318188
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 7, 'random_state': 42}",0.638147271714922,0.6307753829334385,0.6343341105968069,0.6709314720513012,0.6294310142624749
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 8, 'random_state': 42}",0.5306956928094178,0.6566303810348689,0.5867783039042863,0.6770023943758161,0.6249445768546892
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 9, 'random_state': 42}",0.6499557548520521,0.6328384514129791,0.6412177299938215,0.6789893409661706,0.6340348554206233
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 10, 'random_state': 42}",0.5507466990136812,0.6497404597369698,0.5957286383289893,0.6833528350681972,0.6256159598481695
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 11, 'random_state': 42}",0.6550822263760737,0.6339976637042606,0.6441507767367247,0.6873508449925713,0.6360565707007655
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 12, 'random_state': 42}",0.5730402879414571,0.6551368809983308,0.6110556798397918,0.6894291893399899,0.6343739517522289
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 13, 'random_state': 42}",0.6642250636334712,0.6347162714052562,0.6489887793204142,0.6937198433853582,0.6381888800615393
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 14, 'random_state': 42}",0.593550151129494,0.6532558535315837,0.6216312030733923,0.6980351124356288,0.6378560889796845
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 15, 'random_state': 42}",0.6738063752783965,0.6411281964079544,0.6569011835487765,0.7020215307565977,0.6462754889721182
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 16, 'random_state': 42}",0.612268831530385,0.6597682536226301,0.6346388030556109,0.705801281451419,0.6472874815571446
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 17, 'random_state': 42}",0.6815999840916322,0.6472028372197902,0.6637328214376365,0.70807776449731,0.6534606993783024
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 18, 'random_state': 42}",0.6182797088768692,0.6588208603215292,0.6374279455144627,0.7111872329184801,0.648407546122902
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 19, 'random_state': 42}",0.6871728841870823,0.6519567289608464,0.6689407178650691,0.7156952402127547,0.6585125915837527
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 20, 'random_state': 42}",0.6356710348393254,0.665102885512405,0.6496842469750177,0.7151160126494919,0.6569414494508128
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 21, 'random_state': 42}",0.6909580814508431,0.6488903641415447,0.6690958221934434,0.7171360165671974,0.6569382968259372
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 22, 'random_state': 42}",0.6485970808145083,0.6638056182708579,0.6556872644958791,0.718285619402378,0.6592988562276952
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 23, 'random_state': 42}",0.6980904987273304,0.6505699329897512,0.6732916862584112,0.721677030575379,0.6601957149522694
"{'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.8, 'n_estimators': 24, 'random_state': 42}",0.6566188752783965,0.6658387288505201,0.6607077109940354,0.7230201291691081,0.6630041992963341
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 5, 'random_state': 42}",0.5944882476932867,0.5972150026276823,0.5953191779076855,0.6260141275169053,0.5914846341063569
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 6, 'random_state': 42}",0.45226793668469617,0.6161280619005085,0.5211009226186755,0.6284939540104203,0.5805981159913743
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 7, 'random_state': 42}",0.6056315622017181,0.5996603418671882,0.6020099261446104,0.6348191537783093,0.5950759782594989
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 8, 'random_state': 42}",0.4827985801781737,0.6165283457705091,0.541300243705844,0.6416237646495551,0.586995548493676
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 9, 'random_state': 42}",0.6279211740375438,0.6063150895940672,0.6165678264514548,0.6477226402167856,0.6056333623374822
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 10, 'random_state': 42}",0.5233639237989182,0.6265971105803996,0.5701140139188918,0.6519977846158165,0.6019285236888233
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 11, 'random_state': 42}",0.6366086342666243,0.6152125628741546,0.6254552267378972,0.6563081121068437,0.6144996784322627
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 12, 'random_state': 42}",0.5452076041998091,0.62817808324925,0.5835976561952758,0.6570198001142378,0.607766806643211
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 13, 'random_state': 42}",0.6524305003181674,0.6148858635322444,0.6327229378927222,0.6625388013908664,0.6169667965548116
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 14, 'random_state': 42}",0.5715086104040725,0.6362364701399088,0.6020043356851665,0.6662948874887886,0.6188814486941827
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 15, 'random_state': 42}",0.6584443604836144,0.6184259111587893,0.6375288911744755,0.6673015624572598,0.6217957351290685
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 16, 'random_state': 42}",0.5873384306395165,0.6378207443641853,0.6113211122289962,0.6713351924363629,0.6231479589906556
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 17, 'random_state': 42}",0.671828766306077,0.6223276916650031,0.6457965488933912,0.6752259209802218,0.6275244328427849
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 18, 'random_state': 42}",0.6027183423480752,0.6374481743843875,0.6193991664305478,0.6768456512883978,0.6261777576009786
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 19, 'random_state': 42}",0.6729408606426981,0.6226288868842177,0.646517815027345,0.6792043823054321,0.6283101930667474
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 20, 'random_state': 42}",0.6065104995227489,0.6436312973888445,0.6243078344203552,0.6837552305057709,0.6317940957641333
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 21, 'random_state': 42}",0.6767290407254216,0.6305485826986993,0.6525094415371987,0.6850355526826115,0.635832482124617
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 22, 'random_state': 42}",0.6183184855233853,0.645277433549734,0.6313138549624007,0.6870820257443822,0.6357217619389904
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 23, 'random_state': 42}",0.6869829780464525,0.6311301447666098,0.6575622548818811,0.6912433219497324,0.6385269675531847
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.5, 'n_estimators': 24, 'random_state': 42}",0.6279022828507796,0.6454690202587774,0.6362988117041272,0.6918002222357591,0.6377407029092422
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 5, 'random_state': 42}",0.6141067451479478,0.5994029835587584,0.6063466326377971,0.6309639609334396,0.5972137101350585
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 6, 'random_state': 42}",0.4680962655106586,0.6207279571635576,0.5334346038669288,0.6351983187698585,0.5867742342274178
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 7, 'random_state': 42}",0.6149836939230034,0.606033273241493,0.6101044154131434,0.6387566176515579,0.6025959974274582
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 8, 'random_state': 42}",0.493944877505568,0.6245654398657037,0.5514144380488986,0.6442952023943892,0.5942938750803919
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 9, 'random_state': 42}",0.6288070712694876,0.6100076436029253,0.6189272306058895,0.65056910656159,0.608549035927313
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 10, 'random_state': 42}",0.5280439667515113,0.6277387244100602,0.5732373998155271,0.6557125307774729,0.6033870540612114
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 11, 'random_state': 42}",0.6424022629653198,0.6210396728625461,0.6312317068816784,0.660144944643739,0.6209006418744247
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 12, 'random_state': 42}",0.5503345728603245,0.6378953995015683,0.5905526672980439,0.664962961531623,0.6149508821044402
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 13, 'random_state': 42}",0.6452946030862232,0.6223963133469095,0.6332953710544265,0.6687280388266751,0.6220188148652568
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 14, 'random_state': 42}",0.5663816417435572,0.6381475334062032,0.5998784045940997,0.6721268198794851,0.6186548380181339
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 15, 'random_state': 42}",0.6582236318803691,0.6272574927222244,0.6420803694506999,0.6747756480365402,0.6288679554597157
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 16, 'random_state': 42}",0.587779887846007,0.6371247178529671,0.6113216506948967,0.6751746653079168,0.622696124793503
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 17, 'random_state': 42}",0.6689225063633472,0.6291501140852774,0.6482285289058457,0.6782258371643587,0.6331363573311137
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 18, 'random_state': 42}",0.600486696627426,0.6402746253707273,0.6196157469448093,0.6798916397658086,0.6280876177505391
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 19, 'random_state': 42}",0.6744983892777601,0.6318856786848477,0.6523190380479262,0.6834621904751708,0.6366177379285994
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 20, 'random_state': 42}",0.609394388323258,0.642206346224166,0.6252669365885154,0.6854947296558249,0.631451468492667
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 21, 'random_state': 42}",0.6780583837098313,0.6355811145380461,0.6559765488256731,0.6880175652045125,0.6404324140279196
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 22, 'random_state': 42}",0.6207648942093541,0.6458021958859496,0.6329837925407247,0.6910819156770127,0.6369554471052599
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 23, 'random_state': 42}",0.6849680838370984,0.6384681654064785,0.6607664873607482,0.6934330411805376,0.6445874475087957
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.6, 'n_estimators': 24, 'random_state': 42}",0.6278953229398663,0.6453238991487418,0.6364263663055219,0.6957785334077522,0.6380757638810073
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 5, 'random_state': 42}",0.6076469535475659,0.6016497195399918,0.6042737769343252,0.6338002022378251,0.5982258288250798
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 6, 'random_state': 42}",0.46831550270442246,0.6271112474540153,0.5360123348675784,0.6406135613616699,0.5912672290949444
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 7, 'random_state': 42}",0.6190179565701559,0.6101570002627841,0.6141377786726162,0.6472722542364128,0.6072085398302628
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 8, 'random_state': 42}",0.5044284918867323,0.6403411407176662,0.5641000488308696,0.6558371056470387,0.6069862167240445
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 9, 'random_state': 42}",0.6297093740057269,0.6186036443261035,0.6238887333332434,0.6613850235089325,0.6166394279877426
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 10, 'random_state': 42}",0.5291704780464526,0.6366616274229727,0.5778379289468107,0.6658434172559722,0.6103561205059334
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 11, 'random_state': 42}",0.6421979398663697,0.6208881552306447,0.6310903094030313,0.6685586283189822,0.6209075776491507
"{'criterion': 'gini', 'max_features': 'log2', 'max_samples': 0.7, 'n_estimators': 12, 'random_state': 42}",0.5481178412344894,0.641921196302916,0.591090995268569,0.6702634673826273,0.6177651672782759
