,precision,recall,f1-score,support
0,0.7267217630853995,0.678847143592383,0.7019691325172965,1943.0
1,0.6884672990514229,0.7354666666666667,0.7111913357400722,1875.0
accuracy,0.7066526977475118,0.7066526977475118,0.7066526977475118,0.7066526977475118
macro avg,0.7075945310684112,0.7071569051295248,0.7065802341286844,3818.0
weighted avg,0.7079351941844811,0.7066526977475118,0.7064981086940132,3818.0
