,FPR,TPR
0,0.0,0.0
1,0.0,0.0005333333333333334
2,0.0,0.004266666666666667
3,0.000514668039114771,0.004266666666666667
4,0.000514668039114771,0.014933333333333333
5,0.001029336078229542,0.014933333333333333
6,0.001029336078229542,0.0176
7,0.001544004117344313,0.0176
8,0.001544004117344313,0.024533333333333334
9,0.002058672156459084,0.024533333333333334
10,0.002058672156459084,0.0256
11,0.003088008234688626,0.0256
12,0.003088008234688626,0.02666666666666667
13,0.003602676273803397,0.02666666666666667
14,0.003602676273803397,0.028266666666666666
15,0.004117344312918168,0.028266666666666666
16,0.004117344312918168,0.029866666666666666
17,0.004632012352032939,0.029866666666666666
18,0.004632012352032939,0.032
19,0.006176016469377252,0.032
20,0.006176016469377252,0.034666666666666665
21,0.0066906845084920225,0.034666666666666665
22,0.0066906845084920225,0.0432
23,0.008234688625836336,0.0432
24,0.008234688625836336,0.050133333333333335
25,0.008749356664951106,0.050133333333333335
26,0.008749356664951106,0.050666666666666665
27,0.00977869274318065,0.050666666666666665
28,0.00977869274318065,0.0528
29,0.010293360782295419,0.0528
30,0.010293360782295419,0.05333333333333334
31,0.01080802882141019,0.05333333333333334
32,0.01080802882141019,0.055466666666666664
33,0.011322696860524962,0.055466666666666664
34,0.011322696860524962,0.06453333333333333
35,0.011837364899639732,0.06453333333333333
36,0.011837364899639732,0.07413333333333333
37,0.012352032938754504,0.07413333333333333
38,0.012352032938754504,0.07573333333333333
39,0.013381369016984045,0.07573333333333333
40,0.013381369016984045,0.07626666666666666
41,0.014410705095213588,0.07626666666666666
42,0.014410705095213588,0.0768
43,0.01544004117344313,0.0768
44,0.01544004117344313,0.07733333333333334
45,0.0159547092125579,0.07733333333333334
46,0.0159547092125579,0.07786666666666667
47,0.016469377251672673,0.07786666666666667
48,0.016469377251672673,0.0784
49,0.017498713329902212,0.0784
50,0.017498713329902212,0.0832
51,0.018013381369016986,0.0832
52,0.018013381369016986,0.08853333333333334
53,0.018528049408131755,0.08853333333333334
54,0.018528049408131755,0.09653333333333333
55,0.019042717447246525,0.09653333333333333
56,0.019042717447246525,0.104
57,0.0195573854863613,0.104
58,0.0195573854863613,0.1104
59,0.02007205352547607,0.1104
60,0.02007205352547607,0.1216
61,0.02110138960370561,0.1216
62,0.02110138960370561,0.1232
