,precision,recall,f1-score,support
0,0.7198228128460686,0.6690684508492023,0.6935182715390771,1943.0
1,0.6804174950298211,0.7301333333333333,0.7043992796501157,1875.0
accuracy,0.6990570979570456,0.6990570979570456,0.6990570979570456,0.6990570979570456
macro avg,0.7001201539379449,0.6996008920912677,0.6989587755945964,3818.0
weighted avg,0.7004710656209601,0.6990570979570456,0.6988618781939219,3818.0
