,precision,recall,f1-score,support
0,0.6906593406593406,0.6469377251672671,0.6680839755514216,1943.0
1,0.6566566566566566,0.6997333333333333,0.6775109734056286,1875.0
accuracy,0.6728653745416449,0.6728653745416449,0.6728653745416449,0.6728653745416449
macro avg,0.6736579986579987,0.6733355292503003,0.6727974744785251,3818.0
weighted avg,0.6739607988822237,0.6728653745416449,0.6727135253095773,3818.0
