,precision,recall,f1-score,support
0,0.688470066518847,0.6392177045805455,0.6629303442754203,1943.0
1,0.6519364448857994,0.7002666666666667,0.6752378503471329,1875.0
accuracy,0.6691985332634888,0.6691985332634888,0.6691985332634888,0.6691985332634888
macro avg,0.6702032557023232,0.6697421856236061,0.6690840973112766,3818.0
weighted avg,0.6705285943968029,0.6691985332634888,0.6689744966809889,3818.0
