,precision,recall,f1-score,support
0,0.7277747101049145,0.6783324755532681,0.702184336707512,1943.0
1,0.6885899352267065,0.7370666666666666,0.7120041215868108,1875.0
accuracy,0.7071765322158198,0.7071765322158198,0.7071765322158198,0.7071765322158198
macro avg,0.7081823226658105,0.7076995711099674,0.7070942291471614,3818.0
weighted avg,0.7085312703729502,0.7071765322158198,0.7070067821367119,3818.0
