,precision,recall,f1-score,support
0.0,0.6661026508742245,0.6298666666666667,0.6474780701754386,1875.0
1.0,0.6606356968215159,0.6953165208440556,0.6775325977933802,1943.0
accuracy,0.6631744368779465,0.6631744368779465,0.6631744368779465,0.6631744368779465
macro avg,0.6633691738478702,0.6625915937553611,0.6625053339844094,3818.0
weighted avg,0.6633204896053893,0.6631744368779465,0.6627729751418242,3818.0
